,ID,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
0,13829,29,technician,single,tertiary,no,18254,no,no,cellular,11,may,2,-1,0,unknown,no
1,22677,26,services,single,secondary,no,512,yes,yes,unknown,5,jun,3,-1,0,unknown,no
2,10541,30,management,single,secondary,no,135,no,no,cellular,14,aug,2,-1,0,unknown,no
3,13689,41,technician,married,unknown,no,30,yes,no,cellular,10,jul,1,-1,0,unknown,no
4,11304,27,admin.,single,secondary,no,321,no,yes,unknown,2,sep,1,-1,0,unknown,no
5,15046,22,student,single,secondary,no,185,no,no,cellular,8,jul,1,-1,0,unknown,yes
6,15505,53,blue-collar,married,secondary,no,1777,yes,no,cellular,21,nov,5,154,1,failure,yes
7,22341,38,admin.,divorced,secondary,no,74,yes,no,cellular,23,jul,3,-1,0,unknown,no
8,18051,59,management,married,tertiary,no,3342,no,no,cellular,18,mar,2,188,6,other,yes
9,15826,37,housemaid,single,secondary,no,465,yes,no,cellular,18,may,3,-1,0,unknown,yes
10,14385,47,admin.,married,secondary,no,84,no,no,telephone,29,aug,3,-1,0,unknown,no
11,10769,38,management,single,tertiary,no,0,yes,no,unknown,8,may,3,-1,0,unknown,no
12,22503,48,services,married,secondary,no,473,no,yes,cellular,6,aug,2,-1,0,unknown,no
13,12996,30,admin.,married,secondary,no,2931,yes,no,unknown,29,may,3,-1,0,unknown,no
14,14637,90,retired,divorced,primary,no,712,no,no,telephone,3,mar,1,-1,0,unknown,yes
15,15825,53,admin.,married,secondary,no,0,no,no,telephone,6,sep,1,655,5,failure,no
16,19388,36,technician,married,tertiary,no,0,no,no,cellular,22,aug,2,-1,0,unknown,no
17,10749,31,management,married,tertiary,no,91,no,no,unknown,27,may,2,-1,0,unknown,no
18,19264,52,admin.,divorced,secondary,no,1049,no,yes,unknown,4,jun,6,-1,0,unknown,no
19,10503,39,unemployed,married,primary,no,7005,yes,no,cellular,28,jul,2,184,3,success,yes
20,10219,58,services,married,secondary,no,382,no,no,cellular,26,aug,4,-1,0,unknown,no
21,18535,35,blue-collar,married,primary,no,2953,yes,no,telephone,6,may,2,-1,0,unknown,no
22,22406,20,blue-collar,single,secondary,no,76,yes,no,cellular,18,may,2,-1,0,unknown,yes
23,18191,29,self-employed,single,tertiary,no,805,no,no,cellular,1,jul,2,128,8,success,no
24,18163,41,management,married,tertiary,no,0,no,no,cellular,17,sep,4,63,11,other,yes
25,18962,52,unknown,married,primary,no,547,no,no,unknown,6,jun,2,-1,0,unknown,no
26,22528,47,admin.,married,secondary,no,2354,yes,no,unknown,15,may,1,-1,0,unknown,no
27,11744,30,services,married,secondary,no,0,yes,no,cellular,21,nov,4,-1,0,unknown,yes
28,10203,28,blue-collar,married,secondary,no,217,yes,no,unknown,3,jun,1,-1,0,unknown,no
29,12589,27,services,single,secondary,no,339,no,no,cellular,4,jun,1,-1,0,unknown,yes
30,21510,93,retired,married,unknown,no,775,no,no,cellular,4,aug,2,13,9,success,yes
31,19523,25,technician,married,tertiary,no,839,yes,no,cellular,18,may,3,-1,0,unknown,yes
32,19432,35,technician,married,secondary,no,31,no,no,cellular,25,aug,8,-1,0,unknown,no
33,16163,43,management,divorced,tertiary,no,0,yes,no,cellular,21,jul,1,-1,0,unknown,no
34,17918,35,admin.,married,secondary,no,898,yes,no,cellular,9,apr,1,-1,0,unknown,yes
35,22738,36,admin.,single,secondary,no,810,yes,no,unknown,17,jun,1,-1,0,unknown,no
36,18882,53,services,single,secondary,no,4778,yes,no,cellular,14,may,1,-1,0,unknown,no
37,12293,51,technician,married,tertiary,no,0,yes,no,unknown,16,may,19,-1,0,unknown,no
38,13192,39,technician,married,tertiary,no,14,no,no,cellular,28,jan,2,-1,0,unknown,no
39,13079,55,retired,married,secondary,no,119,no,yes,cellular,17,jul,1,-1,0,unknown,no
40,14873,53,blue-collar,married,primary,no,2144,yes,no,cellular,7,may,2,342,1,failure,no
41,13661,44,blue-collar,single,primary,no,1308,no,yes,unknown,19,jun,1,-1,0,unknown,no
42,22448,27,admin.,single,unknown,no,861,no,no,cellular,14,jun,4,-1,0,unknown,yes
