user_id,message,published_time,type,love,wow,sad,total
112638779551,C.J. Anderson wants to remind everyone about Mark Sanchez's past success.,2016-06-16 10:02:02,link,31,26,27,84
112638779551,"Leo Messi (goal, 2 assists) and Argentina just too much for U.S. Soccer as they reach the Copa América Centenario final.

#USMNT to play in the 3rd place game. #Copa100 #MyCopaColors",2016-06-21 21:59:33,photo,109,14,37,160
112638779551,JR Smith was a straight-up hero at the Cleveland Cavaliers' parade.,2016-06-22 14:51:36,video,111,99,32,242
112638779551,Von Miller sounds like he totally committed to the Denver Broncos despite the contract dispute.,2016-06-15 16:48:00,link,180,23,7,210
112638779551,"Brock Lesnar said he was the Bo Jackson of fighting. Bo's response?

Andy Nesbitt for @TheBuzzer",2016-06-16 13:08:13,video,1,81,34,116
75932763901,"After confirming their split, Javi Marroquin and Kailyn Lowry make an unexpected announcement — and we can't imagine how their children feel about this! —> http://bit.ly/1Xq5Rhd",2016-06-15 18:00:00,photo,88,92,41,221
25902406772,Bill Murray  was hyped up.,2016-06-15 11:53:04,link,193,13,45,251
7245371700,Keke Palmer dropped knowledge on the haters.,2016-06-16 05:17:13,link,154,35,41,230
95926963131,"From big-screen ingenue to Iron Lady, see Oscar's most-nominated actress transform through the years!",2016-06-23 01:00:00,video,22,54,30,106
10606591490,Michelle Obama has already used Snapchat to tease her upcoming 'Carpool Karaoke' ride.,2016-06-21 16:01:05,link,163,11,2,176
95926963131,Madonna Badger is speaking out about the tragic night her family in a house fire—and how she recovered her will to live.,2016-06-20 15:06:08,link,158,9,26,193
95926963131,It's been a big day for Michelle Obama—and James Corden!,2016-06-21 23:00:38,link,49,5,29,83
112638779551,Brock Lesnar is making up for lost time when it comes to the UFC's drug testing program.,2016-06-21 10:01:45,link,81,9,8,98
13652355666,"A fan at the Copa América Centenario 2016 ran out to hug soccer star Lionel Messi, and security did nothing to stop it: http://usat.ly/28OHPem (Getty Images)",2016-06-22 09:21:00,video,126,29,45,200
10606591490,The Vogue editor drops the mic.,2016-06-16 15:00:15,link,136,83,13,232
112638779551,'The Stripe Show' with Dustin Johnson is taking place during the U.S. Open Championship. #USOpen #LexusRCF,2016-06-18 15:14:12,video,43,5,48,96
25902406772,Dwyane Wade does not take kindly to haters.,2016-06-21 11:56:31,link,100,43,47,190
10606591490,It only takes 30 minutes.,2016-06-16 06:30:27,link,92,51,22,165
112638779551,The NBA Draft has a rich history of picks that missed the mark.,2016-06-23 08:01:28,link,197,95,3,295
10606591490,A Harvard professor weighs in on easy but effective ways to write better.,2016-06-18 13:01:26,link,20,78,49,147
13652355666,"""All about the money."" http://usat.ly/1rs194W",2016-06-16 12:42:00,video,122,6,38,166
75932763901,IT'S A BOY! And wait until you hear his famous mommy's beautiful explanation of his name —> http://bit.ly/1XngEbZ,2016-06-15 17:00:00,photo,87,97,32,216
112638779551,"Here's what Oakmont looked like before 15,000 trees were removed from the course. #USOpen",2016-06-19 10:55:48,video,85,89,13,187
112638779551,"Cleveland had a rough half-century, but one sports city had it even worse. Can you guess which one?",2016-06-20 17:17:35,link,7,22,16,45
112638779551,Bill Walton told his son Luke Walton not to take the LA Lakers job. This is why he did it anyway.,2016-06-22 10:00:03,video,35,6,11,52
95926963131,Melissa Rivers has the perfect response for when her son Cooper brings up Joan Rivers.,2016-06-18 20:20:03,link,78,8,37,123
10606591490,"The 18-year-old was allegedly on his way to ""ISIS-controlled territory.""",2016-06-21 20:30:38,link,36,77,9,122
10513336322,"Amber Arcades: ""My mum played the clarinet when I was growing up, but she used it mainly to get back at the neighbours. She wasn't very good.""",2016-06-20 15:00:00,link,110,30,48,188
13652355666,"""My brother was a genuine person,"" said James Hickey, older brother of the 30-year-old Antonio Davon Brown.",2016-06-19 05:50:00,link,52,55,15,122
25902406772,What.. Just.. Happened?,2016-06-20 10:02:50,link,83,78,9,170
10606591490,Adorable.,2016-06-22 06:00:10,link,16,19,45,80
75932763901,"THINNER THAN EVER! This is what Teen Mom 2 star Kailyn Lowry looked like back in April — but since then, she's lost A TON of weight! See her impressive transformation: http://bit.ly/1Yp7k6T",2016-06-18 10:30:00,photo,171,27,17,215
10513336322,"""Here are five reasons that the former coalition government and the current Tory administration are to blame for your troubles – and not Brussels.""",2016-06-19 07:00:00,link,161,18,20,199
10606591490,This might be the reason you can't get over your ex.,2016-06-15 02:30:17,link,3,45,35,83
75932763901,IT'S OVER! Click here to find out what went wrong (via Life & Style Weekly) —> http://bit.ly/28MNW3w,2016-06-23 03:30:00,photo,188,14,21,223
52150999700,That stunning tragedy on Orange Is the New Black is heartbreaking. 💔,2016-06-20 09:34:00,link,30,12,31,73
75932763901,Lamar Odom finally breaks his silence about his rocky relationship with Khloé Kardashian — and it's not what we expected to hear! —> http://bit.ly/28K8eIy,2016-06-21 01:30:00,photo,132,40,12,184
112638779551,Yusaku Miyazato did a little dance after hitting the early shot of the day at Oakmont.,2016-06-18 10:06:24,link,184,78,34,296
7245371700,Have you read our The 1975 cover story yet?,2016-06-23 07:21:51,link,40,55,49,144
7245371700,Benicio del Toro should probably hire a new PR rep + the media should probably stop talking about Meg Ryan's face right now.,2016-06-18 10:31:09,link,56,33,9,98
18807449704,These cards have got you covered.,2016-06-18 13:10:00,link,106,81,11,198
18807449704,The condom FINALLY got an upgrade.,2016-06-15 19:15:44,link,44,33,25,102
10606591490,4. Set and affirm your goals for the day.,2016-06-16 08:30:10,link,27,6,3,36
112638779551,BREAKING: The NHL officially is expanding to Las Vegas.,2016-06-22 15:51:35,link,46,51,41,138
10606591490,"Very hot drinks are a ""probable"" cancer trigger, according to the WHO. http://ti.me/1PujFQf",2016-06-15 20:15:42,video,118,43,10,171
18807449704,"In the cruel world of Westeros, not everyone can make it through unscathed.",2016-06-20 06:00:00,link,64,94,10,168
112638779551,The Chicago Cubs' next star had the best MLB debut possible.,2016-06-20 14:27:27,link,10,6,8,24
75932763901,GUESS WHO?! Click here to find out (via Life & Style Weekly) —> http://bit.ly/26252jT,2016-06-18 03:30:00,photo,3,89,33,125
18807449704,Has it really been a year?,2016-06-16 20:42:31,link,27,81,30,138
86680728811,JUST IN: The United States Department of Justice: 18-year-old Indiana man arrested on terrorism charge; attempted to travel overseas to join ISIS. http://abcn.ws/28ReRGU,2016-06-21 16:49:43,photo,132,29,28,189
112638779551,Does a new coach mean it's finally time for the Georgia Bulldogs? Who are the dark horse Heisman contenders? Your college football questions answered.,2016-06-23 12:06:57,link,134,11,4,149
7245371700,Phantogram is back & keeping things real.,2016-06-15 23:49:12,link,25,77,45,147
52150999700,The Harry Potter star dishes on all the ridiculous parts of Swiss Army Man. 😂,2016-06-18 18:41:00,link,132,33,42,207
86680728811,3-year-old boy dies after being found in a hot car outside his family's home in northern Houston.,2016-06-16 23:08:06,link,89,98,25,212
5281959998,"""Having traced every step of his journey in detail over eight hours, you still find yourself wondering what the hell happened to this guy. He was made in America, and unmade here, too.""",2016-06-18 23:55:00,link,191,85,48,324
112638779551,"For the first time in 22 years at the U.S. Open, a player has gone bogey-free at Oakmont.",2016-06-17 14:31:12,link,105,62,32,199
13652355666,"""We knew it was only a matter of time.""",2016-06-22 12:21:00,link,189,69,31,289
112638779551,"Promise, DELIVERED.",2016-06-19 22:05:11,photo,3,59,13,75
52150999700,These tributes to the Star Trek actor are heartbreaking.,2016-06-19 14:18:59,link,155,76,50,281
10513336322,"According to the opinion polls, Thursday night's referendum will be tight: surveys generally showed the Leave camp ahead until late last week, when the Remain camp clawed back some ground. But bookmakers, who have already taken in record volumes of bets on this vote, see things very differently. Average odds currently hover at around 1/4 implying a 75% probability that remain will win. So who should you trust?",2016-06-21 03:20:00,link,38,87,6,131
52150999700,The new Justice League synopsis reveals some SUPER plot details.,2016-06-21 19:19:00,link,32,66,36,134
112638779551,No #NASCAR question is off limits for @TheBuzzer's Daryl Motte and FS1's Alan Cavanna.,2016-06-15 13:08:14,video,100,19,46,165
5281959998,"Associate salaries at big law firms are on the rise, and that news has brought a fresh round of law school bashing.",2016-06-21 22:55:00,link,90,79,26,195
95926963131,North West is one lucky little princess! (via People Babies),2016-06-16 10:41:06,link,33,29,14,76
52150999700,"Alright, alright, alright! Matthew McConaughey talks on a possible True Detective return: http://share.ew.com/eRZbtGg",2016-06-23 13:41:00,video,127,9,16,152
25902406772,Guess what -- Craig Sager was the true star of Game 6.,2016-06-17 00:15:58,link,44,72,36,152
25902406772,James Shields has a had a rough month.,2016-06-23 16:20:49,link,190,62,1,253
18807449704,"Chewbacca Mom has fame, riches and now this incredible gift.",2016-06-20 12:15:00,link,134,98,42,274
112638779551,Dustin Johnson had an amazing performance down the stretch at the U.S. Open Championship. #LookAgain #Deloitte,2016-06-20 15:29:50,video,42,49,18,109
112638779551,The only sure thing in the NBA Draft is that there are NO sure things. Here's 10 years of unpredictability summed up in 90 seconds.,2016-06-22 15:28:56,video,147,4,19,170
95926963131,Things have just gotten real in Kevin Hart's parenting world. (via People Babies),2016-06-16 14:43:02,link,114,61,6,181
112638779551,Nevada approves early weigh-ins for UFC 200 and the other events during International Fight Week,2016-06-21 13:49:47,link,124,31,6,161
5281959998,"While the nominating contest ended with a whimper, Bernie Sanders hopes to go out with a roar, Elizabeth Williamson writes in The New York Times Opinion Section.",2016-06-15 23:25:00,link,156,76,3,235
112638779551,"The Golden State Warriors may have lost Game 7, but Ayesha Curry is still proud of her team",2016-06-19 22:52:34,link,94,46,17,157
25902406772,"If...IF LeBron James actually left the Cleveland Cavaliers, where could he go?",2016-06-21 19:13:03,link,64,50,25,139
95926963131,The ladies of Real Housewives of New York City had some bold reactions for Countess LuAnn de Lesseps.,2016-06-15 22:18:19,link,58,12,46,116
75932763901,Have you ever noticed Kate Middleton and Prince William rarely hold hands in public? Find out the surprising reason why they avoid PDA (via Closer Weekly) —> http://bit.ly/1VAaSUb,2016-06-17 06:45:00,photo,106,76,37,219
112638779551,"""They continued to battle, they never quit. LeBron James put the team on his back""- Draymond Green gives credit to the Cleveland Cavaliers",2016-06-19 23:25:56,video,200,94,4,298
75932763901,RIP! Our hearts are breaking to hear about the death of this young actor —> http://bit.ly/1YzwuQ9,2016-06-20 07:15:00,photo,12,72,43,127
25902406772,How about some MLB in Vegas?,2016-06-21 19:56:26,link,127,38,30,195
112638779551,"Need help making better picks for the U.S. Open Championship? You're in luck! 

#USOpen Preview with OddsShark & Outkick The Coverage with Clay Travis.",2016-06-15 14:07:21,video,57,29,40,126
112638779551,The shoe giant was ready to celebrate when the Cleveland Cavaliers ended more than a half-century of misery.,2016-06-20 08:02:21,link,116,94,8,218
10513336322,Why would a set of supporters try to stop a game while their team is winning? And why would they then start a fight among themselves?,2016-06-18 04:50:00,link,145,18,32,195
75932763901,"Just 10 months after her engagement news, Julianne Hough has made a confession that's left her fans SPEECHLESS! Details here —> (via Closer Weekly) http://bit.ly/23gMPtK",2016-06-21 04:00:00,photo,92,68,50,210
18807449704,Warning: The video is extremely graphic.,2016-06-18 10:30:00,link,143,78,46,267
112638779551,"Denny Hamlin has a better chip shot 30,000 feet in the air than you do on solid ground. #NASCAR",2016-06-23 14:42:02,link,174,53,10,237
5281959998,"Are you smarter than a New York Times reporter? Play along with our quiz and find out, as we try to guess which common words and phrases are trademarked. We'll start with a very common two-word phrase that AT&T is being sued for using.",2016-06-21 17:02:03,video,161,12,4,177
112638779551,This is the best.,2016-06-21 01:28:00,video,181,69,28,278
95926963131,The Royal Ascot is a full family affair! (via People Royals),2016-06-17 12:52:46,link,50,94,8,152
52150999700,The only thing better than one Neil Young is TWO Neil Youngs!,2016-06-22 07:18:40,link,89,60,3,152
18807449704,Don't mind us. We'll just be here sobbing over these Disney Pixar edits.,2016-06-17 12:40:00,link,81,48,38,167
25902406772,Alex Cora reports that Royals could have their eye on Jose Reyes.,2016-06-16 14:00:00,link,39,10,45,94
52150999700,Nile Rodgers says he's working on a song partially inspired by the Orlando attack.,2016-06-15 08:01:22,link,119,24,28,171
7245371700,MTV News spoke to a few experts.,2016-06-16 22:54:51,link,199,62,40,301
13652355666,The cheapest seat is going for at least $900 on StubHub.,2016-06-17 14:44:00,link,45,6,46,97
10513336322,"""I've been interviewing celebrities for 16 years now and I have never seen PRs look as miserable as the ones for the condom company who have spent the past three days trying and failing to make Charlie Sheen be at certain places at certain times.""",2016-06-20 14:00:00,link,197,26,26,249
25902406772,The Golden State Warriors have some decisions to make.,2016-06-21 11:57:22,link,152,27,25,204
7245371700,"Isn't it a little hot out for that, Rihanna?",2016-06-18 17:36:07,link,183,69,7,259
18807449704,A pretty horrible moment happened on Orange Is the New Black.,2016-06-21 22:30:00,link,124,61,32,217
52150999700,"Don't worry, Hamilton: An American Musical fans—Jonathan Groff will be back!",2016-06-21 17:06:00,link,7,50,3,60
10513336322,"In Singapore, ""NEWater"" is reclaimed from what substance?

•Low cloud
•House plant condensation
•Sewage
•Sweat",2016-06-17 10:20:00,link,139,15,28,182
52150999700,"Ben Affleck is standing by his passionate, profanity-laced rant about Tom Brady. 😂 🏈",2016-06-23 16:15:57,link,106,76,23,205
10606591490,"TIME's new cover: The Gene Machine. What the CRISPR experiments mean for humanity
http://ti.me/28U3Uag",2016-06-23 07:44:00,video,7,93,17,117
13652355666,"""Assume everything is sticky."" Here's to you, dads!",2016-06-19 13:20:00,link,147,18,36,201
7245371700,"Don't be quick to write off The 1975 as a ""boy band.""",2016-06-22 06:00:07,link,194,78,22,294
112638779551,The Philadelphia Phillies need to get this dad a contract.,2016-06-17 06:02:05,link,21,100,10,131
95926963131,Flesh-eating bacteria victim Aimee Copeland discusses her journey to recovery and how she learned to embrace her new body. (via People Video),2016-06-19 03:00:00,video,161,66,9,236
25902406772,The anniversary of the legendary Kevin Garnett celebration.,2016-06-17 15:07:45,link,102,20,49,171
86680728811,U.S. Coast Guard rescues couple off the coast of Massachusetts after they were lost at sea in a small inflatable raft for over 12 hours.,2016-06-21 15:26:52,link,9,93,30,132
7245371700,"Beyoncé has fooled us all, again.",2016-06-15 21:14:41,link,116,17,45,178
112638779551,"A young Oakland Athletics fan did his best to spoil Colby Lewis' perfect game, and it may have worked.",2016-06-17 08:27:20,link,112,10,48,170
13652355666,A black bear cub climbed up a tree to avoid a herd of alpacas.,2016-06-21 17:35:00,video,159,55,41,255
52150999700,Modern Family star Ed O'Neill isn't going back to his '80s roots anytime soon.,2016-06-17 04:40:00,link,104,49,46,199
10513336322,"The pound's fall, which stunned investors, was its biggest ever one-day fall, and ranked with the reaction to the collapse of Lehman Brothers in 2008 and Britain's exit in 1992 from the European exchange rate mechanism on Black Wednesday.",2016-06-23 22:20:15,link,192,71,17,280
25902406772,The New York Knicks might try to snag Derrick Rose.,2016-06-17 16:28:24,link,98,55,6,159
25902406772,The Warriors season could go overlooked due to a GREAT finals performance.,2016-06-20 09:26:17,link,184,9,40,233
95926963131,"Saturday was all about North West's birthday celebration, but Sunday was all about Kanye West. (via People Babies)",2016-06-20 09:12:03,link,59,11,21,91
18807449704,OMG.,2016-06-21 23:27:18,link,148,74,29,251
7245371700,"PWR BTTM make it abundantly clear (and queer) which camp they strut in.

""Queer is invincible because people have tried everything — haven't they?"" Ben Hopkins says",2016-06-20 15:37:34,link,80,53,3,136
5281959998,"In one Facebook post, Omar Mateen raged against the ""filthy ways of the west."" In another, he warned of more attacks by ISIS ""in the next few days.""",2016-06-16 09:55:00,link,86,64,1,151
10513336322,Back to Earth with a thump.,2016-06-17 06:20:01,link,10,95,47,152
10513336322,"""Since the 1960s there have been rumors of sightings of blind, white catfishes in that area, but this is the first confirmation.""",2016-06-19 12:00:01,link,29,11,41,81
52150999700,It's official—the former Wonder Woman is heading to Supergirl! 👊🏼,2016-06-21 16:32:43,link,48,22,2,72
112638779551,The world's No. 1 golfer may not be on tour for as long as we hope.,2016-06-23 10:59:52,link,122,83,49,254
112638779551,"For months we've heard that Ben Simmons would rather play for the LA Lakers than the Philadelphia 76ers...

 But on Friday something happened... and now, all signs point to Simmons heading to Philly...",2016-06-17 13:55:09,link,52,7,47,106
5281959998,Hillary Clinton and President Bill Clinton are grandparents again.,2016-06-19 14:10:00,link,15,63,38,116
7245371700,"""I will be part of those masses of people. I will be whooping and hollering, celebrating self-love. But I will also be mourning our dead.""",2016-06-16 21:29:46,link,173,58,45,276
10606591490,"""I think profiling is something that we're going to have to start thinking about as a country,"" Trump said",2016-06-19 11:30:25,link,55,65,48,168
18807449704,"Is that you, Johnny Depp?",2016-06-19 04:00:00,link,186,42,29,257
5281959998,Standing up while working can help you burn about 8 or 9 extra calories per hour. That's all.,2016-06-22 07:25:00,link,66,31,12,109
95926963131,"Fred M. Caruso, a writer and producer best known for penning The Big Gay Musical, has reportedly died at age 41.",2016-06-15 18:14:07,link,146,20,10,176
7245371700,The ~rumors~ are true.,2016-06-23 20:58:55,link,2,17,31,50
5281959998,"Until now, no country has had its athletes barred from an Olympics for doping.",2016-06-17 16:55:00,link,89,47,7,143
95926963131,Vicki Gunvalson is not holding back on the new season of Real Housewives of Orange County.,2016-06-17 14:42:20,link,50,44,12,106
75932763901,Alyssa Milano's post-baby body looks incredible! Wait until you see her now after she lost 55 pounds (via Closer Weekly) —> http://bit.ly/1saRgdf,2016-06-24 06:45:00,photo,82,88,8,178
25902406772,LeBron James and Ben Simmons may just be a match made in heaven for the young star.,2016-06-18 17:09:59,link,63,21,44,128
18807449704,The BIGGEST bluetooth speaker ever  (and some sweaty headphones): #Unboxing,2016-06-22 12:14:19,video,44,71,17,132
86680728811,The clashes come on the heels of skirmishes between fans of the band Radiohead and police that occurred on Saturday in protest over an attack that took place at a record store on Friday night. http://abcn.ws/1UhyXty,2016-06-19 22:39:14,link,107,2,6,115
75932763901,She's GLOWING!,2016-06-15 19:30:00,link,168,65,11,244
10513336322,"""One question shouted louder than the others – was I the father?""",2016-06-18 08:40:00,link,60,33,29,122
10606591490,From Batman v Superman: Dawn of Justice to Dirty Grandpa.,2016-06-20 16:30:20,link,121,19,22,162
95926963131,The Zika virus isn't the only concern Rio de Janeiro faces before the Olympic Games.,2016-06-17 20:34:03,link,82,52,18,152
75932763901,HOW EMBARRASSING!! This famous lady suffered QUITE the wardrobe malfunction! (via Life & Style Weekly) —> http://bit.ly/1USPeau,2016-06-18 00:30:00,photo,72,74,49,195
25902406772,It should be a great ending at the U.S. Open Championship.,2016-06-18 14:08:33,link,14,91,43,148
112638779551,Stephen Curry was asked about his wife Ayesha's controversial tweets:,2016-06-18 16:46:11,link,147,25,15,187
5281959998,Milford Graves records people's heartbeats and uses that sound to make music. New York Today is in his New York studio to get a sample.,2016-06-17 10:36:25,video,44,59,45,148
52150999700,This new season of Big Brother will be the wildest YET! 😱 😁,2016-06-21 13:22:00,link,139,7,16,162
52150999700,American Gothic is the murder-mystery you MUST add to your summer TV lineup. 🙀,2016-06-22 22:02:34,link,89,55,34,178
75932763901,CONGRATS! Click here to find out what 21-year-old is rocking this impressive diamond on THAT finger... (via Life & Style Weekly) —>  http://bit.ly/28ShECo,2016-06-23 01:30:00,photo,82,16,29,127
10606591490,"Gwyneth Paltrow : It ""floats above the cobblestone streets like a pale, dreamy cloud.""",2016-06-16 21:00:13,link,186,27,36,249
7245371700,Is Katy Perry and Taylor Swift's feud still on?,2016-06-21 11:06:32,link,107,81,36,224
52150999700,Lin-Manuel Miranda is getting ready to take his final curtain call for Hamilton: An American Musical.,2016-06-22 14:31:51,link,182,39,29,250
52150999700,Bill Hader is the Star Wars droid we've been looking for!,2016-06-23 07:15:00,link,99,76,4,179
25902406772,GOODBYE SAD BROWNS QB JERSEY!,2016-06-20 18:43:37,link,137,67,10,214
7245371700,This may be my summer go-to jam.,2016-06-23 15:14:52,link,88,50,48,186
75932763901,Heartbreaking. Click here for Chris Brown's devastating confession —> http://bit.ly/28LuNxV,2016-06-21 23:30:00,photo,11,69,1,81
10606591490,Where does the word 'dad' come from?,2016-06-19 09:01:03,video,92,65,1,158
13652355666,It was only a matter of time.,2016-06-20 05:30:00,link,25,92,9,126
10513336322,DON'T PANIC.,2016-06-15 05:00:00,link,188,29,31,248
7245371700,Elizabeth Warren has been throwing down some very cutting words when addressing Donald J. Trump.,2016-06-20 14:37:24,link,93,56,37,186
112638779551,Dan Henderson says he'd love to knock out Official Michael Bisping one more time and then call it a career.,2016-06-15 11:23:02,link,64,19,40,123
25902406772,It should be an interesting NBA offseason.,2016-06-17 18:58:37,link,159,15,37,211
10606591490,Dwayne The Rock Johnson last ate a Twizzler in 1989.,2016-06-17 13:00:06,link,170,58,18,246
25902406772,"Don't forget about Kyrie Irving's clutch 3-pointer or Kevin Love's defense on Curry.

The Big 3 came up HUGE down the stretch.",2016-06-20 09:27:07,photo,150,41,43,234
10513336322,"Where did Bobby Gould insist Wales train in the buildup to their France 98 qualifiers?

•On Wimbledon Common, in front of hostile England fans
•Trecco Bay, once ranked as one of Wales's worst beaches
•HM Prison Usk
•In Cardiff city centre, in front of Welsh fans",2016-06-16 06:10:00,link,35,93,23,151
18807449704,*facepalm*,2016-06-18 17:01:00,link,179,1,42,222
13652355666,It was a daring rescue mission that helped save the lives of eight soldiers.,2016-06-22 00:35:00,link,163,52,12,227
86680728811,"Elizabeth Warren may seem like an exciting choice to some segments of Hillary Clinton's base, but the presumptive nominee stands to lose a deep-pocketed constituency by adding Warren to the ticket.",2016-06-22 19:38:24,link,23,8,5,36
7245371700,"What does it mean to be queer femme? 

In honor of Pride Month, here are more people like Shivani who embrace their true selves from #NoIDRequired: http://on.mtv.com/28TcGFF",2016-06-23 17:45:00,video,3,58,39,100
5281959998,"This was London, a week before one of the most critical political decisions in a generation.",2016-06-16 04:27:01,link,8,71,49,128
10606591490,"""Neither a person nor a photograph should be taken at face value.""",2016-06-20 13:30:12,link,89,25,34,148
18807449704,We're all wondering who will be the next big death in Game of Thrones.,2016-06-18 13:57:19,link,39,19,20,78
7245371700,"You tried, Blake Lively, you tried.",2016-06-22 19:00:08,link,136,2,30,168
75932763901,SHOTS FIRED. We wonder what Kim Kardashian West will think of what Paris Hilton just had to say... http://bit.ly/28PrDY5,2016-06-23 23:30:00,photo,131,99,43,273
25902406772,Stephen Curry's wife is not happy with the NBA.,2016-06-16 23:42:04,link,48,25,19,92
5281959998,"In the U.S. and Britain, a relatively normal electoral process became seized with populist nationalism, the Editorial Board writes in The New York Times Opinion Section.",2016-06-20 07:55:00,link,27,22,4,53
25902406772,Brice Johnson is trying to look NICE for the Draft.,2016-06-22 15:14:34,video,123,75,30,228
95926963131,Hats off to racegoers at the Royal Ascot! (via People Royals),2016-06-16 16:55:09,link,180,91,32,303
112638779551,Charles Barkley wasn't convinced by LeBron James' monster effort in the NBA Finals.,2016-06-23 07:30:47,link,173,17,17,207
10606591490,The shooter searched Facebook while he held hostages for hours.,2016-06-16 21:30:22,link,69,48,41,158
25902406772,LeBron James > Stephen Curry.,2016-06-16 22:54:01,link,115,61,8,184
112638779551,Who had the biggest win ever at the US Open? #betcha,2016-06-18 18:54:54,video,140,7,8,155
112638779551,Oakmont now knows when it will host its record 10th championship.,2016-06-18 12:18:44,link,148,36,16,200
95926963131,What Kim Kardashian West eats in a day (via People Great Ideas),2016-06-17 07:00:00,video,106,54,3,163
25902406772,Draymond Green rollin into Game 6 like...,2016-06-16 17:59:09,photo,117,25,5,147
18807449704,There's a groundbreaking gun-control sit-in happening right now but you can only see it on social media. Here's why.,2016-06-22 15:06:27,link,123,72,9,204
25902406772,Give the man some credit!,2016-06-15 20:18:58,link,138,86,18,242
10606591490,"Iggy Azalea: ""Futures can be rewritten and as of today mine is a blank page.""",2016-06-20 10:00:33,link,161,59,1,221
95926963131,"It looks like we'd need a roommate (or two, or three) to afford the How I Met Your Mother apartment! (via HelloGiggles)",2016-06-16 03:00:24,link,86,26,42,154
52150999700,You're going to need A LOT of tissues for Rachel Platten's moving tribute to the Orlando shooting victims. ❤️,2016-06-22 12:22:00,link,147,68,5,220
18807449704,A Democrat-led sit-in on the floor of the House of Representatives played out on social media when the cameras were turned off.,2016-06-22 23:43:32,link,20,78,20,118
13652355666,"""We were all in a state of shock.""",2016-06-17 05:08:01,link,178,50,46,274
