
10 후회하고 있을때	가정법 과거, 
I should have left earlier.	나 더 일찍 떠났어야 했어.      "슈더브"
I should have fixed it earlier.	나 더 일찍 그거 고쳤어야 했어. 
I should have bought it earlier.	나 더 일찍 그거 샀어야 했어.
I should have booked it earlier.	나 더 일찍 그거 예약했어야 했어.
I should have called her earlier.	나 더 일찍 그녀에게 전화했어야 했어.
I shouldn't have left earlier.	나 더 일찍 떠났어야 말았어야 했어.      "슈더브"

11 수동태로 사실 알려주기	수동태 -> 당한상태
It was written by Tom.	그거 톰이 쓴 거야.            "릿언"
It was sung by him.	그거 그가 노래 부른 거야.  Sing-sang-sung
It was caused by her.	그거 그녀가 야기시킨 거야. 
It was sent by us.	그거 우리가 보낸 거야. 
It was mentioned by them.	그거 그들이 언급한 거야.
Did it have to be written by Tom. ?	그거 꼭  톰이 썼어야 했어  ?      

12 그만 하라고 말할때	동명사, 
Can you stop complaining?	너 불평 좀 그만 할래?  
Can you stop laughing?	너 그만 좀 웃을래? 
Can you stop making noises?	너 시끄럽게 좀 그만 할래?
Can you stop asking questions?	너 질문 좀 그만 할래? 
Can you stop worrying about it?	너 그거에 대해 걱정 좀 그만 할래?
Can you stop her from complaining ?	너 그녀가 불평하는것  좀 그만 하게 할래?  

13 사실 알려질때	수동태, 
It was proven to be wrong.	그거 잘못된 걸로 밝혀졌어.  
It was considered to be right.        (you, xx)	그거 맞는 걸로 간주됐어.
It was known to be good.             (he, nice)	그거 좋은 걸로 알려졌어.
It was expected to be great.           (she, on time)	그거 대단한 걸로 기대됐어.
It was scheduled to be on Monday. (they, here today)	그거 월요일에 있을 걸로 예정됐어.   "스케쥴 투비"
I was proven to be correct	내가 옳은걸로 밝혀졌어.  

14 피할수 없는일 말하기	
I couldn't help crying.	나 울지 않을 수가 없었어.        "쿠던 핼 크라잉"
I couldn't help doing it.	나 그것을 하지 않을 수가 없었어.
I couldn't help watching it.	나 그것을 보지 않을 수가 없었어.
I couldn't help feeling nervous.	나 긴장하지 않을 수가 없었어. 
I couldn't help telling him the truth.  	나 그에게 진실을 말하지 않을 수가 않았어.
I couldn't help but cry	나 울지 않을 수가 없었어.       

15 좋아하는것 이야기 하기	prefer :  더 좋아하다.
I prefer taking the subway.	나는 지하철 타는 게 더 좋아.  "프퍼"
I prefer being alone           (to being with them)	나는 혼자 있는 게 더 좋아.
He prefers playing basketball.  (to playing socer)	그는 농구하는 걸 더 좋아해. 
She prefers teaching children. (to teaching adult)	그녀는 아이들을 가르치는 걸 더 좋아해.
They prefer using e-mail.        (to using the fax)	그들은 이메일 이용하는 걸 더 좋아해.
I prefer taking the subway to taking the bus	나는 버스타는것 보다 지하철 타는 게 더 좋아.

16 익숙해진 상황 이야기하기	
I got used to working late.	나 늦게까지 일하는 것에 익숙해졌어. "아이 가 유스투"
I got used to getting up early.	나 일찍 일어나는 것에 익숙해졌어. 
I got used to eating alone.	나 혼자 먹는 것에 익숙해졌어. 
I got used to living here.	나 여기서 사는 것에 익숙해졌어.
